EXPOCODE,Ship_Name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag
,,,,,,,decimal degrees,decimal degres,m,deg_C,,,,umol/kg,,umol/kg,
32NM19840208,RV NEW HORIZON,1984,3,2,0:00:00,106.7 100.0,28.1921,-120.6443,11,-999,9,-999,9,1992,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,12,0:00:00,090.0 070.0,32.0846,-120.6387,11,14.56,2,33.506,2,2001,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,12,0:00:00,090.0 070.0,32.0846,-120.6387,11,-999,9,33.504,2,1999.9,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,13,0:00:00,090.0 100.0,31.0846,-122.662,11,15.73,2,-999,9,1990.7,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,13,0:00:00,090.0 090.0,31.4179,-121.99,11,14.15,2,33.264,2,1993.9,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,13,0:00:00,090.0 090.0,31.4179,-121.99,11,-999,9,33.264,2,1993.4,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,13,0:00:00,093.3 100.0,30.513,-122.2576,11,15.94,2,-999,9,1993.2,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,13,0:00:00,093.3 100.0,30.513,-122.2576,11,-999,9,-999,9,1991.4,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,14,0:00:00,093.3 090.0,30.8464,-121.5896,11,14.77,2,-999,9,1988.1,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,14,0:00:00,093.3 090.0,30.8464,-121.5896,11,-999,9,-999,9,1988.7,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,19,0:00:00,096.7 100.0,29.9241,-121.8439,11,16.57,2,33.596,2,1993.3,2,2240.8,2
32NM19840409,RV NEW HORIZON,1984,4,19,0:00:00,096.7 100.0,29.9241,-121.8439,11,-999,9,-999,9,1994.8,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,19,0:00:00,096.7 090.0,30.2575,-121.18,10,15.7,2,-999,9,1989,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,19,0:00:00,096.7 090.0,30.2575,-121.18,10,-999,9,33.392,2,1989,2,2231.4,2
32NM19840409,RV NEW HORIZON,1984,4,19,18:10:59,097.0 090.0,30.2055,-121.144,10,15.7,2,33.392,2,1989,2,2231.4,2
32NM19840409,RV NEW HORIZON,1984,4,19,18:10:59,097.0 100.0,29.8722,-121.8076,11,16.57,2,33.596,2,1994,2,2240.8,2
32NM19840409,RV NEW HORIZON,1984,4,20,0:00:00,100.0 100.0,29.3526,-121.4453,11,15.93,2,-999,9,1989.9,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,20,0:00:00,100.0 100.0,29.3526,-121.4453,11,15.93,2,33.388,2,-999,9,2229.2,2
32NM19840409,RV NEW HORIZON,1984,4,20,0:00:00,100.0 090.0,29.6859,-120.7852,10,16.28,2,-999,2,1993.4,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,20,0:00:00,100.0 090.0,29.6859,-120.7852,10,-999,9,-999,2,1990.9,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,20,17:51:04,097.0 100.0,29.8722,-121.8076,11,15.93,2,33.388,2,1989.9,2,2229.2,2
32NM19840409,RV NEW HORIZON,1984,4,25,0:00:00,103.0 100.0,28.8329,-121.0853,10,16.7,2,33.579,2,1994.4,2,2241,2
32NM19840409,RV NEW HORIZON,1984,4,25,0:00:00,103.0 100.0,28.8329,-121.0853,10,-999,9,-999,9,1992.2,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,25,0:00:00,103.0 090.0,29.1663,-120.4286,10,16.68,2,-999,9,1995.3,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,25,0:00:00,103.0 090.0,29.1663,-120.4286,10,-999,9,33.564,2,1993.2,2,2239.1,2
32NM19840409,RV NEW HORIZON,1984,4,25,0:00:00,106.7 100.0,28.1921,-120.6443,10,17.19,2,-999,9,1993.9,2,-999,9
32NM19840409,RV NEW HORIZON,1984,4,25,0:00:00,106.7 100.0,28.1921,-120.6443,10,-999,9,33.671,2,1994.9,2,2245.7,2
32NM19840409,RV NEW HORIZON,1984,4,25,17:56:43,107.0 100.0,28.1401,-120.6086,10,17.19,2,33.669,2,1994.4,2,2245.7,2
32NM19840409,RV NEW HORIZON,1984,4,25,17:56:43,103.0 100.0,28.8329,-121.0853,10,16.7,2,33.577,2,1993.3,2,2241,2
32NM19840409,RV NEW HORIZON,1984,4,25,17:56:43,103.0 090.0,29.1663,-120.4286,10,16.68,2,33.562,2,1994.3,2,2239.1,2
32NM19840603,RV NEW HORIZON,1984,6,8,0:00:00,106.7 100.0,28.1921,-120.6443,11,17.46,2,33.592,2,1993.6,2,2240.4,2
32NM19840603,RV NEW HORIZON,1984,6,8,0:00:00,106.7 100.0,28.1921,-120.6443,11,-999,9,33.592,2,1992.4,2,2239.5,2
32NM19840603,RV NEW HORIZON,1984,6,8,15:37:07,107.0 100.0,28.1401,-120.6086,11,17.46,2,33.592,2,1993,2,2239.9,2
32NM19840603,RV NEW HORIZON,1984,6,12,0:00:00,100.0 100.0,29.3526,-121.4453,11,16.57,2,33.339,2,1987.3,2,2228.3,2
32NM19840603,RV NEW HORIZON,1984,6,12,0:00:00,100.0 100.0,29.3526,-121.4453,11,-999,9,33.34,2,1988.6,2,2229.2,2
32NM19840603,RV NEW HORIZON,1984,6,12,0:00:00,103.0 100.0,28.8329,-121.0853,11,17.15,2,33.509,2,1988.8,2,2241.6,2
32NM19840603,RV NEW HORIZON,1984,6,12,0:00:00,103.0 100.0,28.8329,-121.0853,11,-999,9,33.509,2,1990.2,2,2238.9,2
32NM19840603,RV NEW HORIZON,1984,6,12,0:00:00,103.0 090.0,29.1663,-120.4286,11,17.64,2,33.604,2,1992.3,2,2240,2
32NM19840603,RV NEW HORIZON,1984,6,12,0:00:00,103.0 090.0,29.1663,-120.4286,11,-999,9,-999,9,1991.4,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,12,16:02:41,103.0 100.0,28.8329,-121.0853,11,17.15,2,33.509,2,1989.5,2,2240.2,2
32NM19840603,RV NEW HORIZON,1984,6,12,16:02:41,103.0 090.0,29.1663,-120.4286,11,17.64,2,33.6,2,1991.8,2,2240,2
32NM19840603,RV NEW HORIZON,1984,6,12,16:02:41,097.0 100.0,29.8722,-121.8076,11,16.57,2,33.34,2,1988,2,2228.8,2
32NM19840603,RV NEW HORIZON,1984,6,13,0:00:00,100.0 090.0,29.6859,-120.7852,10,16.58,2,-999,9,1992.4,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,13,0:00:00,100.0 090.0,29.6859,-120.7852,10,-999,9,-999,9,1991.3,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 100.0,29.9241,-121.8439,10,16.5,2,33.239,2,1992.7,2,2218.2,2
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 100.0,29.9241,-121.8439,10,-999,9,-999,9,-999,9,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 100.0,29.9241,-121.8439,10,-999,9,-999,9,1990.8,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 100.0,29.9241,-121.8439,10,-999,9,-999,9,-999,9,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 090.0,30.2575,-121.18,60,16.54,2,-999,9,1992.8,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 090.0,30.2575,-121.18,60,-999,9,-999,9,-999,9,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 090.0,30.2575,-121.18,60,-999,9,-999,9,1994.3,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,0:00:00,096.7 090.0,30.2575,-121.18,60,-999,9,-999,9,-999,9,-999,9
32NM19840603,RV NEW HORIZON,1984,6,16,15:35:38,097.0 100.0,29.8722,-121.8076,10,16.5,2,33.243,2,1991.7,2,2218.2,2
32NM19840603,RV NEW HORIZON,1984,6,17,0:00:00,093.3 100.0,30.513,-122.2576,10,15.56,2,-999,9,1995.5,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,17,0:00:00,093.3 100.0,30.513,-122.2576,10,-999,9,-999,9,-999,9,-999,9
32NM19840603,RV NEW HORIZON,1984,6,17,0:00:00,093.3 100.0,30.513,-122.2576,10,-999,9,-999,9,1993.5,2,-999,9
32NM19840603,RV NEW HORIZON,1984,6,17,0:00:00,093.3 090.0,30.8464,-121.5896,10,16.13,2,33.275,2,1991.2,2,2226.7,2
